review_id,product_id,customer_id,review_dates,ratings,review_texts
131,131,131,2023-11-28,5,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc."
132,132,132,2023-09-12,2,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.
133,133,133,2024-02-26,4,Integer a nibh. In quis justo.
134,134,134,2023-10-14,4,Maecenas pulvinar lobortis est.
135,135,135,2023-08-26,4,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.
136,136,136,2023-12-25,5,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus."
137,137,137,2024-06-12,2,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue."
138,138,138,2024-08-14,3,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci."
139,139,139,2024-04-30,4,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
140,140,140,2023-09-20,2,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci."
141,141,141,2024-04-04,2,Integer ac neque. Duis bibendum.
142,142,142,2023-10-02,1,Curabitur gravida nisi at nibh.
143,143,143,2023-09-08,3,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
144,144,144,2024-06-23,1,In congue.
145,145,145,2023-10-09,5,Suspendisse potenti. In eleifend quam a odio.
146,146,146,2023-12-15,1,Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo.
147,147,147,2024-01-24,2,Donec semper sapien a libero.
148,148,148,2024-08-07,1,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.
149,149,149,2024-03-22,5,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum."
150,150,150,2024-07-10,5,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.
151,151,151,2023-10-31,1,Morbi ut odio.
152,152,152,2023-10-31,5,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
153,153,153,2023-11-16,2,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
154,154,154,2024-07-20,3,"Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti."
155,155,155,2024-07-18,4,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.
156,156,156,2024-04-11,3,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.
157,157,157,2024-01-29,5,Proin risus. Praesent lectus.
158,158,158,2023-11-03,2,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum."
159,159,159,2023-11-23,5,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.
160,160,160,2024-07-23,1,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus."
161,161,161,2023-09-22,4,Suspendisse potenti.
162,162,162,2023-08-20,5,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh."
163,163,163,2024-04-05,4,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
164,164,164,2023-11-19,4,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero."
165,165,165,2024-05-01,4,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.
166,166,166,2024-07-02,3,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.
167,167,167,2024-02-21,5,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi."
168,168,168,2024-05-22,3,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.
169,169,169,2024-06-23,4,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
170,170,170,2024-01-13,1,Suspendisse potenti.
171,171,171,2024-01-10,2,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem."
172,172,172,2024-07-10,1,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.
173,173,173,2023-11-08,5,Donec vitae nisi.
174,174,174,2024-06-28,3,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo."
175,175,175,2024-06-04,3,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis."
176,176,176,2024-04-06,4,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat."
177,177,177,2024-04-01,4,Integer ac neque.
178,178,178,2024-05-13,1,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
179,179,179,2023-10-10,3,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.
180,180,180,2023-11-30,2,Donec posuere metus vitae ipsum.
181,181,181,2023-12-18,4,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam."
182,182,182,2023-09-10,5,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum."
183,183,183,2024-06-24,1,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
184,184,184,2024-04-12,4,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc."
185,185,185,2024-03-09,4,Sed vel enim sit amet nunc viverra dapibus.
186,186,186,2023-09-09,4,Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.
187,187,187,2024-04-03,2,Donec quis orci eget orci vehicula condimentum.
188,188,188,2024-02-01,5,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.
189,189,189,2023-12-23,2,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
